date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986038793,1.0000000014073243,46303774477
2024-12-25,1.0,0.9999999984882233,1.0000000017080857,46303774477
2024-12-26,1.0,0.9999999980428995,1.000000001898603,46303774477
2024-12-27,1.0,0.9999999968476205,1.0000000026533482,46303774477
2024-12-28,1.0,0.9999999958051882,1.0000000041574222,46303774477
2024-12-29,1.0,0.9999999937606788,1.0000000054066178,46303774477
2024-12-30,1.0,0.9999999913594675,1.0000000075914315,46303774477
2024-12-31,1.0,0.9999999897340716,1.0000000093828858,46303774477
2025-01-01,1.0,0.9999999877233164,1.0000000118947598,46303774477
2025-01-02,1.0,0.999999985372896,1.000000014166542,46303774477
2025-01-03,1.0,0.9999999830019634,1.0000000165748695,46303774477
2025-01-04,1.0,0.9999999803978258,1.000000019415146,46303774477
2025-01-05,1.0,0.9999999780915567,1.0000000220406935,46303774477
2025-01-06,1.0,0.9999999748867175,1.0000000245910416,46303774477
2025-01-07,1.0,0.999999971853861,1.0000000279345291,46303774477
2025-01-08,1.0,0.9999999683536811,1.0000000305579053,46303774477
2025-01-09,1.0,0.9999999654874245,1.0000000331328291,46303774477
2025-01-10,1.0,0.9999999612647584,1.0000000364264179,46303774477
2025-01-11,1.0,0.9999999570105977,1.0000000395047317,46303774477
2025-01-12,1.0,0.9999999549141401,1.0000000421143236,46303774477
2025-01-13,1.0,0.9999999522206038,1.0000000453460263,46303774477
2025-01-14,1.0,0.9999999479198938,1.0000000486529712,46303774477
2025-01-15,1.0,0.9999999447615779,1.0000000525370984,46303774477
2025-01-16,1.0,0.9999999416885575,1.000000056311989,46303774477
2025-01-17,1.0,0.9999999365305698,1.0000000604963903,46303774477
2025-01-18,1.0,0.999999934937191,1.0000000641683944,46303774477
2025-01-19,1.0,0.9999999330928183,1.0000000686409087,46303774477
2025-01-20,1.0,0.9999999297038537,1.000000072820027,46303774477
2025-03-04,1.9999996656589085,1.9999996656575554,1.9999996656603372,46303862950
2025-03-05,1.9999996656589087,1.9999996656573638,1.9999996656604653,46303862950
2025-03-06,1.9999996656589092,1.9999996656574175,1.9999996656604617,46303862950
2025-03-07,1.9999996656589094,1.9999996656573082,1.9999996656606074,46303862950
2025-03-08,1.9999996656589096,1.9999996656570158,1.9999996656607217,46303862950
2025-03-09,1.99999966565891,1.9999996656566155,1.9999996656611296,46303862950
2025-03-10,1.9999996656589103,1.999999665656554,1.9999996656615642,46303862950
2025-03-11,1.9999996656589105,1.999972287746353,2.0000120352352315,46303862950
2025-03-12,1.9999996656589107,1.9999384289245397,2.0000359433616306,46303862950
2025-03-13,1.9999996656589112,1.9998937906950438,2.0000982174063244,46303862950
2025-03-14,1.9999996656589114,1.9998393624673232,2.000144928253005,46303862950
2025-03-15,1.9999996656589116,1.9997541186364367,2.0002305759082817,46303862950
2025-03-16,1.9999996656589119,1.9996664828848654,2.0003200414739406,46303862950
2025-03-17,1.9999996656589123,1.9996199975194224,2.0004155304303164,46303862950
2025-03-18,1.9999996656589125,1.9995138035447757,2.000495943107305,46303862950
2025-03-19,1.9999996656589127,1.999449042361002,2.000595062240303,46303862950
2025-03-20,1.9999996656589132,1.9993809502320368,2.000677766579794,46303862950
2025-03-21,1.9999996656589134,1.9992632912871962,2.0008034288249887,46303862950
2025-03-22,1.9999996656589136,1.9991501317997007,2.000887918378767,46303862950
2025-03-23,1.9999996656589138,1.99902249799254,2.001033541292309,46303862950
2025-03-24,1.9999996656589143,1.998916141279725,2.001150592395155,46303862950
2025-03-25,1.9999996656589145,1.9987695770529408,2.001286744540958,46303862950
2025-03-26,1.9999996656589147,1.9986304078907597,2.0013857042624457,46303862950
2025-03-27,1.999999665658915,1.998475281721707,2.0015507234178824,46303862950
2025-03-28,1.9999996656589154,1.998332721594528,2.0016972030279887,46303862950
2025-03-29,1.9999996656589156,1.9981383954319696,2.0018821954098502,46303862950
2025-03-30,1.9999996656589158,1.9979754650361103,2.0020160857857507,46303862950
2025-03-31,1.9999996656589163,1.997803373957823,2.002133845956823,46303862950
2025-03-04,5.434594712288739,1.3575859602320073,9.399234637595484,46303877432
2025-03-05,4.865590756422694,0.8298981852344829,9.060350707406576,46303877432
2025-03-06,4.296586800556636,-0.11414653370531203,8.41610996806224,46303877432
2025-03-07,3.727582844690591,-0.5137251349369987,8.155569962386663,46303877432
2025-03-08,3.1585788888245467,-1.1045294444894114,7.2524682605406126,46303877432
2025-03-09,2.5895749329585023,-1.3243161057902237,6.501382446689866,46303877432
2025-03-10,2.020570977092458,-2.249560709841085,6.112384218503989,46303877432
2025-03-11,1.4515670212264133,-2.580593656501236,5.745520907243479,46303877432
2025-03-12,0.8825630653603618,-3.191971016233647,5.3511972602698386,46303877432
2025-03-13,0.3135591094943173,-3.876823530580701,4.179673537017272,46303877432
2025-03-14,-0.25544484637172715,-4.325596163615133,4.182519588800529,46303877432
2025-03-15,-0.8244488022377716,-5.16410724041512,3.252623429706577,46303877432
2025-03-16,-1.393452758103816,-5.427382455238215,2.87469655762198,46303877432
2025-03-17,-1.9624567139698605,-6.187575465893534,1.9013093154030887,46303877432
2025-03-18,-2.531460669835919,-6.545024455029391,1.5349537962729043,46303877432
2025-03-19,-3.1004646257019637,-7.125231792024602,0.9063459346983385,46303877432
2025-03-20,-3.669468581568008,-7.6223478867250085,0.4573187253980634,46303877432
2025-03-21,-4.238472537434053,-8.165953250157138,-0.06385641587766826,46303877432
2025-03-22,-4.807476493300097,-8.834446433080483,-0.8235010080666093,46303877432
